array_id,chemical,vehicle,route
95767.CEL,3-METHYLCHOLANTHRENE,CMC_.5_%,ORAL_GAVAGE
95756.CEL,3-METHYLCHOLANTHRENE,CMC_.5_%,ORAL_GAVAGE
95720.CEL,3-METHYLCHOLANTHRENE,CMC_.5_%,ORAL_GAVAGE
95788.CEL,3-METHYLCHOLANTHRENE,CMC_.5_%,ORAL_GAVAGE
96010.CEL,3-METHYLCHOLANTHRENE,CMC_.5_%,ORAL_GAVAGE
96000.CEL,3-METHYLCHOLANTHRENE,CMC_.5_%,ORAL_GAVAGE
95752.CEL,3-METHYLCHOLANTHRENE,CMC_.5_%,ORAL_GAVAGE
95784.CEL,3-METHYLCHOLANTHRENE,CMC_.5_%,ORAL_GAVAGE
95995.CEL,3-METHYLCHOLANTHRENE,CMC_.5_%,ORAL_GAVAGE
94466.CEL,FLUCONAZOLE,CORN_OIL_100_%,ORAL_GAVAGE
95081.CEL,FLUCONAZOLE,CORN_OIL_100_%,ORAL_GAVAGE
95726.CEL,FLUCONAZOLE,CORN_OIL_100_%,ORAL_GAVAGE
95724.CEL,FLUCONAZOLE,CORN_OIL_100_%,ORAL_GAVAGE
94478.CEL,FLUCONAZOLE,CORN_OIL_100_%,ORAL_GAVAGE
95053.CEL,FLUCONAZOLE,CORN_OIL_100_%,ORAL_GAVAGE
94942.CEL,FLUCONAZOLE,CORN_OIL_100_%,ORAL_GAVAGE
94588.CEL,FLUCONAZOLE,CORN_OIL_100_%,ORAL_GAVAGE
94943.CEL,FLUCONAZOLE,CORN_OIL_100_%,ORAL_GAVAGE
94727.CEL,FLUCONAZOLE,CORN_OIL_100_%,ORAL_GAVAGE
94574.CEL,FLUCONAZOLE,CORN_OIL_100_%,ORAL_GAVAGE
94667.CEL,FLUCONAZOLE,CORN_OIL_100_%,ORAL_GAVAGE
94533.CEL,FLUCONAZOLE,CORN_OIL_100_%,ORAL_GAVAGE
94427.CEL,FLUCONAZOLE,CORN_OIL_100_%,ORAL_GAVAGE
94944.CEL,FLUCONAZOLE,CORN_OIL_100_%,ORAL_GAVAGE
95761.CEL,PIRINIXIC_ACID,CMC_.5_%,ORAL_GAVAGE
95699.CEL,PIRINIXIC_ACID,CMC_.5_%,ORAL_GAVAGE
95704.CEL,PIRINIXIC_ACID,CMC_.5_%,ORAL_GAVAGE
95690.CEL,PIRINIXIC_ACID,CMC_.5_%,ORAL_GAVAGE
95814.CEL,PIRINIXIC_ACID,CMC_.5_%,ORAL_GAVAGE
95721.CEL,PIRINIXIC_ACID,CMC_.5_%,ORAL_GAVAGE
95818.CEL,PIRINIXIC_ACID,CMC_.5_%,ORAL_GAVAGE
95785.CEL,PIRINIXIC_ACID,CMC_.5_%,ORAL_GAVAGE
95775.CEL,PIRINIXIC_ACID,CMC_.5_%,ORAL_GAVAGE
95780.CEL,Control,CMC_.5_%,ORAL_GAVAGE
95812.CEL,Control,WATER_100_%,ORAL_GAVAGE
95707.CEL,Control,WATER_100_%,ORAL_GAVAGE
94489.CEL,Control,CORN_OIL_100_%,ORAL_GAVAGE
95770.CEL,Control,WATER_100_%,ORAL_GAVAGE
92993.CEL,Control,CMC_.5_%,ORAL_GAVAGE
95028.CEL,Control,CORN_OIL_100_%,ORAL_GAVAGE
94932.CEL,Control,CORN_OIL_100_%,ORAL_GAVAGE
92992.CEL,Control,CMC_.5_%,ORAL_GAVAGE
94425.CEL,Control,CORN_OIL_100_%,ORAL_GAVAGE
92994.CEL,Control,CMC_.5_%,ORAL_GAVAGE
95715.CEL,Control,CMC_.5_%,ORAL_GAVAGE
94509.CEL,Control,CORN_OIL_100_%,ORAL_GAVAGE
95032.CEL,Control,CORN_OIL_100_%,ORAL_GAVAGE
97787.CEL,Control,CORN_OIL_100_%,ORAL_GAVAGE
94907.CEL,Control,CORN_OIL_100_%,ORAL_GAVAGE
95793.CEL,Control,CMC_.5_%,ORAL_GAVAGE
94948.CEL,Control,CORN_OIL_100_%,ORAL_GAVAGE
95251.CEL,Control,CORN_OIL_100_%,ORAL_GAVAGE
95696.CEL,Control,WATER_100_%,ORAL_GAVAGE
95779.CEL,Control,WATER_100_%,ORAL_GAVAGE
95809.CEL,Control,CMC_.5_%,ORAL_GAVAGE
95710.CEL,Control,WATER_100_%,ORAL_GAVAGE
95797.CEL,Control,CORN_OIL_100_%,ORAL_GAVAGE
95789.CEL,Control,CMC_.5_%,ORAL_GAVAGE
94565.CEL,Control,CORN_OIL_100_%,ORAL_GAVAGE
96643.CEL,Control,CMC_.5_%,ORAL_GAVAGE
